centroide;cruce;año;turno;cantidad_ciclistas;tipo_relevamiento
1;CASEROS@RAULET;2013;mañana;15;macrocentro
1;CASEROS@RAULET;2013;tarde;17;macrocentro
1;CASEROS@RAULET;2014;mañana;7;macrocentro
1;CASEROS@RAULET;2014;tarde;15;macrocentro
1;CASEROS@RAULET;2015;mañana;11;macrocentro
1;CASEROS@RAULET;2015;tarde;15;macrocentro
1;CASEROS@RAULET;2016;mañana;13;macrocentro
1;CASEROS@RAULET;2016;tarde;18;macrocentro
1;CASEROS@RAULET;2017;mañana;9;macrocentro
1;CASEROS@RAULET;2017;tarde;19;macrocentro
1;CASEROS@RAULET;2018;mañana;14;macrocentro
1;CASEROS@RAULET;2018;tarde;17;macrocentro
1;CASEROS@RAULET;2020;mañana;49;macrocentro
1;CASEROS@RAULET;2020;tarde;53;macrocentro
1;CASEROS@RAULET;2022;mañana;23;macrocentro
1;CASEROS@RAULET;2022;tarde;42;macrocentro
1;CASEROS@RAULET;2023;mañana;20;macrocentro
1;CASEROS@RAULET;2023;tarde;14;macrocentro
2;BOEDO@CHICLANA;2013;mañana;23;macrocentro
2;BOEDO@CHICLANA;2013;tarde;33;macrocentro
2;BOEDO@CHICLANA;2014;mañana;27;macrocentro
2;BOEDO@CHICLANA;2014;tarde;20;macrocentro
2;BOEDO@CHICLANA;2015;mañana;22;macrocentro
2;BOEDO@CHICLANA;2015;tarde;20;macrocentro
2;BOEDO@CHICLANA;2016;mañana;21;macrocentro
2;BOEDO@CHICLANA;2016;tarde;20;macrocentro
2;BOEDO@CHICLANA;2017;mañana;26;macrocentro
2;BOEDO@CHICLANA;2017;tarde;43;macrocentro
2;BOEDO@CHICLANA;2018;mañana;24;macrocentro
2;BOEDO@CHICLANA;2018;tarde;62;macrocentro
2;BOEDO@CHICLANA;2020;mañana;55;macrocentro
2;BOEDO@CHICLANA;2020;tarde;98;macrocentro
2;BOEDO@CHICLANA;2022;mañana;19;macrocentro
2;BOEDO@CHICLANA;2022;tarde;63;macrocentro
2;BOEDO@CHICLANA;2023;mañana;21;macrocentro
2;BOEDO@CHICLANA;2023;tarde;63;macrocentro
3;LINIERS VIRREY@RONDEAU;2013;mañana;19;macrocentro
3;LINIERS VIRREY@RONDEAU;2013;tarde;39;macrocentro
3;LINIERS VIRREY@RONDEAU;2014;mañana;14;macrocentro
3;LINIERS VIRREY@RONDEAU;2014;tarde;42;macrocentro
3;LINIERS VIRREY@RONDEAU;2015;mañana;13;macrocentro
3;LINIERS VIRREY@RONDEAU;2015;tarde;54;macrocentro
3;LINIERS VIRREY@RONDEAU;2016;mañana;14;macrocentro
3;LINIERS VIRREY@RONDEAU;2016;tarde;22;macrocentro
3;LINIERS VIRREY@RONDEAU;2017;mañana;19;macrocentro
3;LINIERS VIRREY@RONDEAU;2017;tarde;61;macrocentro
3;LINIERS VIRREY@RONDEAU;2019;mañana;126;macrocentro
3;LINIERS VIRREY@RONDEAU;2019;tarde;64;macrocentro
3;LINIERS VIRREY@RONDEAU;2021;mañana;62;macrocentro
3;LINIERS VIRREY@RONDEAU;2021;tarde;50;macrocentro
3;LINIERS VIRREY@RONDEAU;2023;mañana;44;macrocentro
3;LINIERS VIRREY@RONDEAU;2023;tarde;0;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2013;mañana;25;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2013;tarde;38;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2014;mañana;21;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2014;tarde;39;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2015;mañana;19;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2015;tarde;29;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2016;mañana;12;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2016;tarde;19;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2017;mañana;24;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2017;tarde;41;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2018;mañana;18;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2018;tarde;46;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2020;mañana;37;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2020;tarde;133;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2022;mañana;27;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2022;tarde;79;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2023;mañana;14;macrocentro
4;CASEROS@24 DE NOVIEMBRE;2023;tarde;62;macrocentro
5;RONDEAU@URQUIZA, Gral.;2013;mañana;22;macrocentro
5;RONDEAU@URQUIZA, Gral.;2013;tarde;34;macrocentro
5;RONDEAU@URQUIZA, Gral.;2014;mañana;14;macrocentro
5;RONDEAU@URQUIZA, Gral.;2014;tarde;32;macrocentro
5;RONDEAU@URQUIZA, Gral.;2015;mañana;28;macrocentro
5;RONDEAU@URQUIZA, Gral.;2015;tarde;21;macrocentro
5;RONDEAU@URQUIZA, Gral.;2016;mañana;11;macrocentro
5;RONDEAU@URQUIZA, Gral.;2016;tarde;22;macrocentro
5;RONDEAU@URQUIZA, Gral.;2017;mañana;19;macrocentro
5;RONDEAU@URQUIZA, Gral.;2017;tarde;17;macrocentro
5;RONDEAU@URQUIZA, Gral.;2018;mañana;18;macrocentro
5;RONDEAU@URQUIZA, Gral.;2018;tarde;31;macrocentro
5;RONDEAU@URQUIZA, Gral.;2020;mañana;41;macrocentro
5;RONDEAU@URQUIZA, Gral.;2020;tarde;81;macrocentro
5;RONDEAU@URQUIZA, Gral.;2022;mañana;23;macrocentro
5;RONDEAU@URQUIZA, Gral.;2022;tarde;58;macrocentro
5;RONDEAU@URQUIZA, Gral.;2023;mañana;28;macrocentro
5;RONDEAU@URQUIZA, Gral.;2023;tarde;45;macrocentro
6;CASEROS@DEAN FUNES;2013;mañana;17;macrocentro
6;CASEROS@DEAN FUNES;2013;tarde;36;macrocentro
6;CASEROS@DEAN FUNES;2014;mañana;24;macrocentro
6;CASEROS@DEAN FUNES;2014;tarde;43;macrocentro
6;CASEROS@DEAN FUNES;2015;mañana;24;macrocentro
6;CASEROS@DEAN FUNES;2015;tarde;36;macrocentro
6;CASEROS@DEAN FUNES;2016;mañana;22;macrocentro
6;CASEROS@DEAN FUNES;2016;tarde;34;macrocentro
6;CASEROS@DEAN FUNES;2017;mañana;21;macrocentro
6;CASEROS@DEAN FUNES;2017;tarde;42;macrocentro
6;CASEROS@DEAN FUNES;2019;mañana;86;macrocentro
6;CASEROS@DEAN FUNES;2019;tarde;60;macrocentro
6;CASEROS@DEAN FUNES;2021;mañana;75;macrocentro
6;CASEROS@DEAN FUNES;2021;tarde;60;macrocentro
6;CASEROS@DEAN FUNES;2023;mañana;35;macrocentro
6;CASEROS@DEAN FUNES;2023;tarde;35;macrocentro
7;CASEROS@JUJUY;2013;mañana;26;macrocentro
7;CASEROS@JUJUY;2013;tarde;48;macrocentro
7;CASEROS@JUJUY;2014;mañana;16;macrocentro
7;CASEROS@JUJUY;2014;tarde;33;macrocentro
7;CASEROS@JUJUY;2015;mañana;25;macrocentro
7;CASEROS@JUJUY;2015;tarde;41;macrocentro
7;CASEROS@JUJUY;2016;mañana;16;macrocentro
7;CASEROS@JUJUY;2016;tarde;19;macrocentro
7;CASEROS@JUJUY;2017;mañana;18;macrocentro
7;CASEROS@JUJUY;2017;tarde;28;macrocentro
7;CASEROS@JUJUY;2018;mañana;36;macrocentro
7;CASEROS@JUJUY;2018;tarde;25;macrocentro
7;CASEROS@JUJUY;2020;mañana;45;macrocentro
7;CASEROS@JUJUY;2020;tarde;80;macrocentro
7;CASEROS@JUJUY;2022;mañana;29;macrocentro
7;CASEROS@JUJUY;2022;tarde;65;macrocentro
7;CASEROS@JUJUY;2023;mañana;39;macrocentro
7;CASEROS@JUJUY;2023;tarde;26;macrocentro
8;CASTRO,BARROS@LAS CASAS;2013;mañana;10;macrocentro
8;CASTRO,BARROS@LAS CASAS;2013;tarde;11;macrocentro
8;CASTRO,BARROS@LAS CASAS;2014;mañana;25;macrocentro
8;CASTRO,BARROS@LAS CASAS;2014;tarde;0;macrocentro
8;CASTRO,BARROS@LAS CASAS;2015;mañana;10;macrocentro
8;CASTRO,BARROS@LAS CASAS;2015;tarde;16;macrocentro
8;CASTRO,BARROS@LAS CASAS;2016;mañana;11;macrocentro
8;CASTRO,BARROS@LAS CASAS;2016;tarde;6;macrocentro
8;CASTRO,BARROS@LAS CASAS;2017;mañana;8;macrocentro
8;CASTRO,BARROS@LAS CASAS;2017;tarde;13;macrocentro
8;CASTRO,BARROS@LAS CASAS;2019;mañana;12;macrocentro
8;CASTRO,BARROS@LAS CASAS;2019;tarde;23;macrocentro
8;CASTRO,BARROS@LAS CASAS;2021;mañana;9;macrocentro
8;CASTRO,BARROS@LAS CASAS;2021;tarde;36;macrocentro
8;CASTRO,BARROS@LAS CASAS;2023;mañana;18;macrocentro
8;CASTRO,BARROS@LAS CASAS;2023;tarde;26;macrocentro
9;CASTRO, BARROS@INCLAN;2013;mañana;9;macrocentro
9;CASTRO, BARROS@INCLAN;2013;tarde;7;macrocentro
9;CASTRO, BARROS@INCLAN;2014;mañana;8;macrocentro
9;CASTRO, BARROS@INCLAN;2014;tarde;0;macrocentro
9;CASTRO, BARROS@INCLAN;2015;mañana;6;macrocentro
9;CASTRO, BARROS@INCLAN;2015;tarde;5;macrocentro
9;CASTRO, BARROS@INCLAN;2016;mañana;14;macrocentro
9;CASTRO, BARROS@INCLAN;2016;tarde;7;macrocentro
9;CASTRO, BARROS@INCLAN;2017;mañana;12;macrocentro
9;CASTRO, BARROS@INCLAN;2017;tarde;11;macrocentro
9;CASTRO, BARROS@INCLAN;2019;mañana;7;macrocentro
9;CASTRO, BARROS@INCLAN;2019;tarde;17;macrocentro
9;CASTRO, BARROS@INCLAN;2021;mañana;4;macrocentro
9;CASTRO, BARROS@INCLAN;2021;tarde;16;macrocentro
9;CASTRO, BARROS@INCLAN;2023;mañana;9;macrocentro
9;CASTRO, BARROS@INCLAN;2023;tarde;19;macrocentro
10;CASTRO, BARROS@TARIJA;2013;mañana;5;macrocentro
10;CASTRO, BARROS@TARIJA;2013;tarde;6;macrocentro
10;CASTRO, BARROS@TARIJA;2014;mañana;4;macrocentro
10;CASTRO, BARROS@TARIJA;2014;tarde;8;macrocentro
10;CASTRO, BARROS@TARIJA;2015;mañana;4;macrocentro
10;CASTRO, BARROS@TARIJA;2015;tarde;7;macrocentro
10;CASTRO, BARROS@TARIJA;2016;mañana;4;macrocentro
