id_hecho;n_victimas;fecha;aaaa;mm;dd;hora;hh;direccion_normalizada;calle;altura;cruce;otra_direccion;comuna;tipo_de_calle;geocodificacion_caba;longitud;latitud;participantes;victima;contraparte;gravedad;tipo_de_dato
LC-2019-0008283;2;2019-01-04;2019;1;4;17:53:00;17;SD;;;;aut. Dellepiane altura cruce con la calle Timoteo Gordillo , Barrio: No Especificada  , jurisdicción comisaria:;SD;SD;SD;SD;SD;AUTO-SD;AUTO;SD;SD;definitivo
LC-2019-0007634;1;2019-01-04;2019;1;4;14:50:00;14;SD;;;;SD;SD;SD;SD;SD;SD;MOTO-SD;MOTO;SD;SD;definitivo
LC-2019-0008974;1;2019-01-05;2019;1;5;09:30:00;9;SD;;;;SD;SD;SD;SD;SD;SD;BICICLETA-SD;BICICLETA;SD;SD;definitivo
LC-2019-0010983;2;2019-01-06;2019;1;6;22:20:00;22;SD;;;;SD;SD;SD;SD;SD;SD;AUTO-SD;AUTO;SD;SD;definitivo
LC-2019-0011092;1;2019-01-07;2019;1;7;03:50:00;3;SD;;;;SD;SD;SD;SD;SD;SD;PEATON-SD;PEATON;SD;SD;definitivo
LC-2019-0017186;1;2019-01-09;2019;1;9;11:55:00;11;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0022256;1;2019-01-11;2019;1;11;12:10:00;12;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0687058;1;2019-01-11;2019;1;11;09:20:00;9;PAZ, GRAL. AV. y ACHA, MARIANO, GRAL.;PAZ, GRAL. AV.;;ACHA, MARIANO, GRAL.;SD;SD;SD;Point (96982.6358422506 108957.813038542);SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0688515;1;2019-01-11;2019;1;11;16:58:00;16;DEL LIBERTADOR AV. 100;DEL LIBERTADOR AV.;100;;SD;SD;SD;Point (108067.125594 104023.680363);;;SD-SD;SD;SD;SD;definitivo
LC-2019-0757409;1;2019-01-12;2019;1;12;06:45:00;6;TRONADOR y GIRIBONE;TRONADOR;;GIRIBONE;SD;SD;SD;Point (99744.1439377455 105520.728400727);;;SD-SD;SD;SD;SD;definitivo
LC-2019-0025021;1;2019-01-13;2019;1;13;02:20:00;2;PASEO COLON AV. y MEXICO;PASEO COLON AV.;;MEXICO;SD;SD;SD;Point (108629.964506752 101606.761130562);;;SD-SD;SD;SD;GRAVE;definitivo
LC-2019-0029566;1;2019-01-15;2019;1;15;11:30:00;11;SD;;;;AV. CRUZ ENTRE AV. ESCALADA Y AUTOPISTA CÁMPORA , Barrio: No Especificada  , jurisdicción comisaria:;SD;AUTOPISTA;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0033845;1;2019-01-17;2019;1;17;09:15:00;9;SD;;;;SD;SD;SD;SD;SD;SD;AUTO-SD;AUTO;SD;SD;definitivo
LC-2019-0033624;1;2019-01-17;2019;1;17;02:45:00;2;LACROZE, FEDERICO y CAMPOS, LUIS M. AV.;LACROZE, FEDERICO;;CAMPOS, LUIS M. AV.;SD;SD;SD;Point (102108.128777288 107087.128651998);;;SD-SD;SD;SD;SD;definitivo
LC-2019-0034229;4;2019-01-17;2019;1;17;10:58:00;10;SD;;;;SD;SD;SD;SD;SD;SD;UTILITARIO-SD;UTILITARIO;SD;SD;definitivo
LC-2019-0037956;2;2019-01-18;2019;1;18;14:45:00;14;SD;;;;SD;SD;SD;SD;SD;SD;MOTO-SD;MOTO;SD;SD;definitivo
LC-2019-0036508;1;2019-01-18;2019;1;18;08:21:00;8;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0039050;1;2019-01-18;2019;1;18;18:00:00;18;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0039585;1;2019-01-19;2019;1;19;06:10:00;6;QUESADA y MILLER;QUESADA;;MILLER;SD;SD;SD;Point (97962.881936702 107021.636764033);;;SD-SD;SD;SD;sd;definitivo
LC-2019-0044699;1;2019-01-20;2019;1;20;16:00:00;16;SD;;;;gral conesa , Barrio:   , jurisdicción comisaria:;SD;SD;SD;SD;SD;AUTO-SD;AUTO;SD;SD;definitivo
LC-2019-0047479;1;2019-01-22;2019;1;22;20:48:00;20;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0073279;1;2019-01-23;2019;1;23;21:00:00;21;SD;;;;SD;SD;SD;SD;SD;SD;AUTO-SD;AUTO;SD;SD;definitivo
LC-2019-0047733;1;2019-01-23;2019;1;23;01:48:00;1;SD;;;;SD;SD;SD;SD;SD;SD;MOTO-SD;MOTO;SD;SD;definitivo
LC-2019-0049828;1;2019-01-23;2019;1;23;21:02:00;21;SD;;;;SD;SD;SD;SD;SD;SD;MOTO-SD;MOTO;SD;SD;definitivo
LC-2019-0049592;1;2019-01-23;2019;1;23;18:48:00;18;CASTILLO y CARRANZA, ANGEL JUSTINIANO;CASTILLO;;CARRANZA, ANGEL JUSTINIANO;SD;SD;SD;Point (101826.896937008 104708.368665252);;;SD-SD;SD;SD;GRAVE;definitivo
LC-2019-0050069;1;2019-01-24;2019;1;24;22:30:00;22;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0050175;2;2019-01-24;2019;1;24;04:03:00;4;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0050670;1;2019-01-24;2019;1;24;09:10:00;9;SD;;;;Corrientes Av. 3358, Barrio:   , jurisdicción comisaria:;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0051216;1;2019-01-24;2019;1;24;13:16:00;13;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0051464;2;2019-01-24;2019;1;24;12:30:00;12;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0051508;1;2019-01-24;2019;1;24;13:30:00;13;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0053244;1;2019-01-24;2019;1;24;07:00:00;7;SD;;;;SD;SD;SD;SD;;;SD-SD;SD;SD;sd;definitivo
LC-2019-0056387;1;2019-01-27;2019;1;27;05:30:00;5;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0056420;2;2019-01-27;2019;1;27;06:30:00;6;SD;;;;AUTOPISTA 25 DE MAYO, ALTURA KM 1.5 (CARABOBO) , Barrio: No Especificada  , jurisdicción comisaria:;SD;AUTOPISTA;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0057299;1;2019-01-28;2019;1;28;05:26:00;5;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0059155;1;2019-01-28;2019;1;28;17:25:00;17;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0060398;2;2019-01-29;2019;1;29;11:51:00;11;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0061593;1;2019-01-29;2019;1;29;18:25:00;18;DIAZ VELEZ AV. y PRINGLES;DIAZ VELEZ AV.;;PRINGLES;SD;SD;SD;Point (103261.483699331 102281.12003418);;;SD-SD;SD;SD;SD;definitivo
LC-2019-0064934;1;2019-01-29;2019;1;29;04:30:00;4;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0064712;1;2019-01-31;2019;1;31;08:40:00;8;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0089512;1;2019-01-31;2019;1;31;15:00:00;15;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0000815;1;2019-02-01;2019;2;1;00:45:00;0;MU?IZ 568;MU?IZ;568;;SD;SD;SD;Point (103336.312114 101018.339551);;;SD-SD;SD;SD;SD;definitivo
LC-2019-0068429;1;2019-02-01;2019;2;1;16:24:00;16;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0068660;1;2019-02-01;2019;2;1;17:10:00;17;SD;;;;SD;SD;SD;SD;;;SD-SD;SD;SD;SD;definitivo
LC-2019-0069433;1;2019-02-02;2019;2;2;03:00:00;3;CORREA y BALBIN, RICARDO, DR. AV.;CORREA;;BALBIN, RICARDO, DR. AV.;SD;SD;SD;Point (96943.4255297621 108226.025173517);;;SD-SD;SD;SD;GRAVE;definitivo
LC-2019-0072758;1;2019-02-04;2019;2;4;12:58:00;12;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
LC-2019-0074074;2;2019-02-04;2019;2;4;20:27:00;20;SD;;;;SD;SD;SD;SD;SD;SD;SD-SD;SD;SD;SD;definitivo
