WKT,id,nombre,telefono,web,email,estacionam,beneficio,calle,altura,calle2,direccion_,barrio,comuna
"POINT (-58.378414670952 -34.6531446491969)","47",3 Esquinas,4302-8571,,,En puerta,10% de descuento,Osvaldo Cruz,"2302",,"CRUZ, OSVALDO AV. 2302",Barracas,Comuna 4
"POINT (-58.4383379608211 -34.5964455587465)","17",Almacen Purista,4779-2210,http://www.almacenpurista.com/,info@almacenpurista.com,En puerta,Cafecito especial con tu consumici_n m4nima de $30,"RAMIREZ DE VELASCO, JUAN","701",,"RAMIREZ DE VELASCO, JUAN 701",Villa Crespo,Comuna 15
"POINT (-58.4390713423854 -34.5833150645495)","72",Altura Crucero,4773-8936,https://www.facebook.com/AlturaCrucero,contacto@alturacrucero.com,En puerta,"Consumiendo el menc almuerzo de Mezzogiorno (men3 ejecutivo) $54, le invitaremos uno de nuestros deliciosos postres",Carranza,"1601",,"CARRANZA, ANGEL JUSTINIANO 1601",Palermo,Comuna 14
"POINT (-58.4413851604239 -34.5819434375875)","15",Artemisia,4776-5484,http://www.artemisianatural.com.ar/,artemisia@fibertel.com.ar,En puerta,A definir,GORRITI,"5996",,GORRITI 5996,Palermo,Comuna 14
"POINT (-58.5000818945843 -34.5906251696351)","110",Baraba Rest6,4574-2822,http://www.barabaresto.com.ar/,manuelmadeo@gmail.com / barabaresto@gmail.com,,Cafu Gratuito,Pareja,"2997",,PAREJA 2997,Villa Pueyrredon,Comuna 12
"POINT (-58.3728553022562 -34.6467441507136)","48",Bar El Progreso,4301-0671,https://www.facebook.com/bar.elprogreso,barelprogreso@fibertel.com.ar,En puerta,10% de descuento,Montes de Oca,"1702",,"MONTES DE OCA, MANUEL 1702",Barracas,Comuna 4
"POINT (-58.3924635847826 -34.6048989626599)","97",Bar La Academia,4372-2765,https://www.facebook.com/lacademia1930?fref=ts,bar_laacademia@hotmail.com,En puerta,10% de descuento,Callao,"368",,CALLAO AV. 368,Balvanera,Comuna 3
"POINT (-58.4285760179928 -34.5837579713026)","56",Bazar de la Esquina,4778-3648,http://bazardelaesquina.com,info@bazardelaesquina.com,En puerta,10% de descuento sobre los precios exhibidos al p blico con cualquier medio de pago,Fray Justo Santa Marra de Oro,"2030",,FRAY JUSTO SANTAMARIA DE ORO 2030,Palermo,Comuna 14
"POINT (-58.4284010998677 -34.5876982625075)","71",Cabernet,4831-3071,http://www.cabernet-restaurant.com/,info@cabernet-restaurant.com,En puerta,20% de descuento sobre el total de la factura,Borges,"1757",,"BORGES, JORGE LUIS 1757",Palermo,Comuna 14
"POINT (-58.3701849950662 -34.6186074064896)","4",Cafu Rivas,4361-5539,http://www.caferivas.com.ar/,caferivas@live.com,En puerta,A definir,ESTADOS UNIDOS,"302",,ESTADOS UNIDOS 302,San Telmo,Comuna 1
